## AnnCX was tested for the following last versions of the different dependencies
# Name                    Version                   Build  Channel
perl-encode               3.21            pl5321hb9d3cd8_1    conda-forge
perl-exporter             5.74            pl5321hd8ed1ab_0    conda-forge
perl-exporter-tiny        1.002002        pl5321hd8ed1ab_0    conda-forge
perl-extutils-makemaker   7.70            pl5321hd8ed1ab_0    conda-forge
perl-file-path            2.18            pl5321hd8ed1ab_0    conda-forge
perl-file-temp            0.2304          pl5321hd8ed1ab_0    conda-forge
perl-file-util            4.201720        pl5321hdfd78af_0    bioconda
perl-file-which           1.24            pl5321hd8ed1ab_0    conda-forge
perl-inc-latest           0.500           pl5321ha770c72_0    conda-forge
perl-io-compress          2.216           pl5321h503566f_0    bioconda
perl-io-zlib              1.15            pl5321hdfd78af_1    bioconda
perl-json                 4.11            pl5321hdfd78af_0    bioconda
perl-json-xs              4.04            pl5321h9948957_0    bioconda
perl-lib                  0.63            pl5321hd8ed1ab_0    conda-forge
perl-list-moreutils       0.430           pl5321hdfd78af_0    bioconda
perl-list-moreutils-xs    0.430           pl5321h7b50bb2_5    bioconda
perl-module-build         0.4234          pl5321ha770c72_1    conda-forge
perl-moo                  2.005004        pl5321ha770c72_0    conda-forge
perl-parallel-forkmanager 2.04            pl5321hdfd78af_0    bioconda
perl-parent               0.243           pl5321hd8ed1ab_0    conda-forge
perl-pathtools            3.75            pl5321hb9d3cd8_2    conda-forge
perl-role-tiny            2.002004        pl5321ha770c72_0    conda-forge
perl-scalar-list-utils    1.70            pl5321hb03c661_0    conda-forge
perl-storable             3.15            pl5321hb9d3cd8_2    conda-forge
perl-sub-quote            2.006006        pl5321ha770c72_0    conda-forge
perl-test-fatal           0.016           pl5321ha770c72_0    conda-forge
perl-test-warnings        0.031           pl5321ha770c72_0    conda-forge
perl-try-tiny             0.31            pl5321ha770c72_0    conda-forge
perl-types-serialiser     1.01            pl5321hdfd78af_0    bioconda
perl-uri                  5.34            pl5321ha770c72_0    conda-forge
perl-yaml                 1.30            pl5321hdfd78af_0    bioconda
pip                       26.0.1             pyh145f28c_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
pthread-stubs             0.4               hb9d3cd8_1002    conda-forge
pyfastx                   2.3.0           py313hda738de_2    bioconda
python                    3.13.12         hc97d973_100_cp313    conda-forge
python-dateutil           2.9.0.post0        pyhe01879c_2    conda-forge
python_abi                3.13                    8_cp313    conda-forge
r-base                    4.5.2                h835929b_3    conda-forge
r-cli                     3.6.5             r45h3697838_1    conda-forge
r-colorspace              2.1_2             r45h54b55ab_0    conda-forge
r-cpp11                   0.5.3             r45h785f33e_0    conda-forge
r-crayon                  1.5.3             r45hc72bb7e_2    conda-forge
r-data.table              1.17.8            r45h1c8cec4_1    conda-forge
r-dplyr                   1.2.0             r45h3697838_0    conda-forge
r-ellipsis                0.3.2             r45h54b55ab_4    conda-forge
r-fansi                   1.0.7             r45h54b55ab_0    conda-forge
r-farver                  2.1.2             r45h3697838_2    conda-forge
r-generics                0.1.4             r45hc72bb7e_1    conda-forge
r-ggplot2                 4.0.2             r45h785f33e_0    conda-forge
r-glue                    1.8.0             r45h54b55ab_1    conda-forge
r-gtable                  0.3.6             r45hc72bb7e_1    conda-forge
r-isoband                 0.3.0             r45h3697838_0    conda-forge
r-labeling                0.4.3             r45hc72bb7e_2    conda-forge
r-lifecycle               1.0.5             r45hc72bb7e_0    conda-forge
r-magrittr                2.0.4             r45h54b55ab_0    conda-forge
r-munsell                 0.5.1             r45hc72bb7e_2    conda-forge
r-pillar                  1.11.1            r45hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r45hc72bb7e_5    conda-forge
r-r6                      2.6.1             r45hc72bb7e_1    conda-forge
r-rcolorbrewer            1.1_3             r45h785f33e_4    conda-forge
r-rlang                   1.1.7             r45h3697838_0    conda-forge
r-s7                      0.2.1             r45h54b55ab_0    conda-forge
r-scales                  1.4.0             r45hc72bb7e_1    conda-forge
r-stringi                 1.8.7             r45h2dae267_1    conda-forge
r-stringr                 1.6.0             r45h785f33e_0    conda-forge
r-tibble                  3.3.1             r45h54b55ab_0    conda-forge
r-tidyselect              1.2.1             r45hc72bb7e_2    conda-forge
r-utf8                    1.2.6             r45h54b55ab_1    conda-forge
r-vctrs                   0.7.2             r45h3697838_0    conda-forge
r-viridislite             0.4.3             r45hc72bb7e_0    conda-forge
r-withr                   3.0.2             r45hc72bb7e_1    conda-forge
readline                  8.3                  h853b02a_0    conda-forge
repeatmasker              4.1.5           pl5321hdfd78af_1    bioconda
rmblast                   2.14.1               hdb21ba3_2    bioconda
rpsbproc                  0.5.1                hd6d6fdc_0    bioconda
samtools                  1.23.1               ha83d96e_0    bioconda
sed                       4.9                  h6688a6e_0    conda-forge
seqkit                    2.13.0               he881be0_0    bioconda
six                       1.17.0             pyhe01879c_1    conda-forge
sqlite                    3.52.0               hbc0de68_0    conda-forge
suitesparse               7.10.1          h5b2951e_7100101    conda-forge
sysroot_linux-64          2.34                 h087de78_3    conda-forge
tar                       1.35                 h3b78370_0    conda-forge
tk                        8.6.13          noxft_h366c992_103    conda-forge
tktable                   2.10                 h5a7a40f_8    conda-forge
trf                       4.10.0rc2            h7b50bb2_0    bioconda
tzdata                    2025c                hc9c84f9_1    conda-forge
ucsc-fatotwobit           482                  hdc0a859_0    bioconda
ucsc-twobitinfo           482                  hdc0a859_0    bioconda
wget                      1.25.0               h653f8fd_1    conda-forge
wise2                     2.4.1                h17e8430_6    bioconda
xorg-libice               1.1.2                hb9d3cd8_0    conda-forge
xorg-libsm                1.2.6                he73a12e_0    conda-forge
xorg-libx11               1.8.13               he1eb515_0    conda-forge
xorg-libxau               1.0.12               hb03c661_1    conda-forge
xorg-libxdmcp             1.1.5                hb03c661_1    conda-forge
xorg-libxext              1.3.7                hb03c661_0    conda-forge
xorg-libxfixes            6.0.2                hb03c661_0    conda-forge
xorg-libxi                1.8.2                hb9d3cd8_0    conda-forge
xorg-libxrandr            1.5.5                hb03c661_0    conda-forge
xorg-libxrender           0.9.12               hb9d3cd8_0    conda-forge
xorg-libxt                1.3.1                hb9d3cd8_0    conda-forge
xorg-libxtst              1.2.5                hb9d3cd8_3    conda-forge
xz                        5.8.2                ha02ee65_0    conda-forge
xz-gpl-tools              5.8.2                ha02ee65_0    conda-forge
xz-tools                  5.8.2                hb03c661_0    conda-forge
zlib                      1.3.2                h25fd6f3_2    conda-forge
zstd                      1.5.7                hb78ec9c_6    conda-forge
